scenario_cls,AdoptingPolicyCls,BasePolicyCls,outcome,percent_adopt,value,yerr,deployment_type
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,49.110343607007074,3.0114185578085064,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0.0,0.0,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,49.109706033901446,3.0113794621854413,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,50.19536068532511,3.0111796466583005,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,49.15084915084915,5.201196516681955,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,50.19534712499517,3.0111776454821184,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0.6942957076678158,0.32674059757562157,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,50.84915084915085,5.201196516681955,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0.6949468411033837,0.32673842815166254,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.1,48.73122489125289,3.0403816666144117,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.1,0.0,0.0,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.1,46.99776057092323,2.9322293853815515,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.1,50.69258013245521,3.0405713666116436,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.1,50.60527064176699,3.139214589188187,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.1,50.68947436428969,3.0426672569718916,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.1,0.5761949762918978,0.010350729086538855,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.1,49.39472935823301,3.1392145891881866,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.1,2.312765064787083,0.11228114415941391,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.2,49.40712913374241,3.0344623832777864,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.2,0.0,0.0,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.2,45.89211403964672,2.8185789416227527,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.2,50.04440679311743,3.0346823918996972,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.2,49.91723604862291,3.1329301021031037,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.2,50.035359372345106,3.038763780916933,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.2,0.5484640731401602,0.010123845361245803,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.2,50.08276395137709,3.1329301021031037,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.2,4.072526588008173,0.22329998484364144,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.4,50.633439080574036,3.0916184738519723,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.4,0.0,0.0,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.4,43.42936848162289,2.6517490327333175,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.4,48.848643517174736,3.0888792253931556,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.4,48.156222892063944,3.1817857501876348,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.4,48.750128187208695,3.0959202364424145,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.4,0.5179174022512316,0.0832927214112755,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.4,51.843777107936056,3.1817857501876348,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.4,7.820503331168423,0.45712799709323204,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.8,51.53578370919866,2.991701108649236,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.8,0.0,0.0,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.8,36.871199995818635,2.1404084575912816,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.8,48.041146637248445,2.988241590390891,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.8,47.71743606817947,3.0811474393893667,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.8,47.94903513924117,2.9983071632191725,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.8,0.4230696535528942,0.25394191941153876,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.8,52.28256393182053,3.0811474393893667,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.8,15.179764864940193,0.9005291663698675,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.99,49.75780562945653,3.07422478107462,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.99,0.0,0.0,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,0.99,32.236180089530215,1.9916756844963872,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.99,49.98675302969556,3.0739232406220123,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.99,49.15359450368414,3.2135533092469544,STUBS
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,0.99,49.69336556182727,3.103985410420627,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.99,0.25544134084791825,0.00818548038251955,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.99,50.84640549631586,3.2135533092469544,STUBS
PrefixHijack,ROV,BGP,DISCONNECTED,0.99,18.070454348642517,1.131437030258467,STUBS
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,49.83067201538886,3.0105048726194767,MULTIHOMED
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,0.0,0.0,MULTIHOMED
PrefixHijack,ROV,BGP,ATTACKER_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,49.830025090647986,3.010465788858294,MULTIHOMED
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,49.574090645936515,3.0102196396490304,MULTIHOMED
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,69.63036963036963,4.784262511951626,MULTIHOMED
PrefixHijack,ROV,BGP,VICTIM_SUCCESS,SpecialPercentAdoptions.ONLY_ONE,49.57435102579013,3.010216636741294,MULTIHOMED
PrefixHijack,ROV,BGP,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0.5952373386746196,0.010366989589096159,MULTIHOMED
PrefixHijack,ROV,BGP,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,30.369630369630368,4.784262511951626,MULTIHOMED
PrefixHijack,ROV,BGP,DISCONNECTED,SpecialPercentAdoptions.ONLY_ONE,0.5956238835618793,0.010364596808879509,MULTIHOMED
